AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL
US,840,N171US,SFO,CLT,20,286,2296,806
DL,1173,N826DN,LAS,ATL,30,221,1747,711
UA,1197,N78448,SFO,IAH,48,218,1635,626
AA,115,N3CTAA,LAX,MIA,105,286,2342,851
AA,2392,N3HRAA,DEN,MIA,120,227,1709,707
AA,1057,N3ASAA,DFW,MIA,515,161,1121,856
AA,89,N3KVAA,IAH,MIA,520,141,964,841
UA,1221,N37281,PDX,DEN,530,142,991,852
UA,1532,N77066,SFO,DEN,531,146,967,857
UA,1012,N17245,IAD,IAH,535,207,1190,802
DL,941,N910DN,MCI,ATL,540,122,692,842
UA,1540,N78509,DCA,IAH,545,209,1208,814
DL,1890,N377DA,DFW,ATL,545,124,731,849
UA,1222,N68452,MCO,LAX,555,341,2218,836
UA,1457,N76529,LAX,IAH,557,192,1379,1109
UA,1016,N68807,DEN,IAH,600,142,862,922
UA,1158,N73445,SFO,ORD,600,257,1846,1217
UA,1188,N68822,PDX,IAH,600,244,1825,1204
UA,1431,N36207,BOS,LAX,600,404,2611,944
AA,281,N3FXAA,MIA,DFW,600,194,1121,814
AA,1297,N3JYAA,LGA,MIA,600,192,1096,912
AA,2204,N3GKAA,MSY,MIA,600,109,675,849
DL,904,N3748Y,LGA,ATL,600,159,762,839
DL,977,N988DL,ORD,ATL,600,127,606,907
AA,913,N3JVAA,DCA,MIA,600,157,919,837
DL,2282,N974DL,BOS,ATL,600,191,946,911
DL,1700,N952DL,MEM,ATL,600,82,332,822
DL,1937,N905DA,BWI,DTW,600,102,409,742
UA,1410,N76523,LAS,IAH,601,175,1222,1056
UA,415,N509UA,JFK,SFO,605,404,2586,949
US,829,N723UW,BOS,CLT,605,147,728,832
US,1743,N839AW,DTW,MIA,605,186,1145,911
UA,1160,N76522,SFO,IAH,606,233,1635,1159
UA,654,N422UA,ORD,MCO,608,163,1005,951
UA,1725,N72405,LAS,SFO,610,96,414,746
AA,1619,N3AMAA,BOS,MIA,610,216,1258,946
UA,416,N496UA,PDX,ORD,614,235,1739,1209
